1/21/2020,1
1/22/2020,1
1/23/2020,1
1/24/2020,2
1/25/2020,3
1/26/2020,5
1/27/2020,5
1/28/2020,5
1/29/2020,5
1/30/2020,6
1/31/2020,7
2/1/2020,8
2/2/2020,11
2/3/2020,11
2/4/2020,11
2/5/2020,12
2/6/2020,12
2/7/2020,12
2/8/2020,12
2/9/2020,12
2/10/2020,13
2/11/2020,13
2/12/2020,14
2/13/2020,15
2/14/2020,15
2/15/2020,15
2/16/2020,15
2/17/2020,25
2/18/2020,25
2/19/2020,25
2/20/2020,27
2/21/2020,30
2/22/2020,30
2/23/2020,30
2/24/2020,43
2/25/2020,45
2/26/2020,60
2/27/2020,60
2/28/2020,65
2/29/2020,70
3/1/2020,88
3/2/2020,104
3/3/2020,125
3/4/2020,161
3/5/2020,228
3/6/2020,311
3/7/2020,428
3/8/2020,547
3/9/2020,748
3/10/2020,1018
3/11/2020,1263
3/12/2020,1668
3/13/2020,2224
3/14/2020,2898
3/15/2020,3600
3/16/2020,4507
3/17/2020,5905
3/18/2020,8345
3/19/2020,12384
3/20/2020,17990
3/21/2020,24511
3/22/2020,33043
3/23/2020,43476
3/24/2020,53886
3/25/2020,68480
3/26/2020,85488
3/27/2020,102719
3/28/2020,123570
3/29/2020,142182
3/30/2020,163575
3/31/2020,188034
4/1/2020,214687
4/2/2020,244026
4/3/2020,276493
4/4/2020,311532
4/5/2020,336768
4/6/2020,366208
4/7/2020,397745
4/8/2020,429314
4/9/2020,463683
4/10/2020,496912
4/11/2020,528395
4/12/2020,555323
4/13/2020,580849
4/14/2020,607281
4/15/2020,637052
4/16/2020,668530
4/17/2020,699850
4/18/2020,728091
4/19/2020,753311
4/20/2020,780445
4/21/2020,805768
4/22/2020,834335
4/23/2020,868016
4/24/2020,904600
4/25/2020,938745
4/26/2020,965210
4/27/2020,988141
4/28/2020,1012571
4/29/2020,1039198
4/30/2020,1069558
5/1/2020,1103541
5/2/2020,1133080
5/3/2020,1158651
5/4/2020,1180555
5/5/2020,1204203
5/6/2020,1235200
