date,jet_fuel,deaths
1/21/2020,1.736,0
1/22/2020,1.711,0
1/23/2020,1.702,0
1/24/2020,1.665,0
1/27/2020,1.598,0
1/28/2020,1.641,0
1/29/2020,1.62,0
1/30/2020,1.584,0
1/31/2020,1.504,0
2/3/2020,1.45,0
2/4/2020,1.451,0
2/5/2020,1.52,0
2/6/2020,1.553,0
2/7/2020,1.522,0
2/10/2020,1.491,0
2/11/2020,1.5,0
2/12/2020,1.56,0
2/13/2020,1.576,0
2/14/2020,1.591,0
2/18/2020,1.559,0
2/19/2020,1.584,0
2/20/2020,1.583,0
2/21/2020,1.582,0
2/24/2020,1.511,0
2/25/2020,1.466,0
2/26/2020,1.412,0
2/27/2020,1.384,0
2/28/2020,1.381,0
3/2/2020,1.438,6
3/3/2020,1.43,10
3/4/2020,1.438,12
3/5/2020,1.379,12
3/6/2020,1.275,15
3/9/2020,1.039,26
3/10/2020,1.112,31
3/11/2020,1.057,37
3/12/2020,0.945,43
3/13/2020,0.977,50
3/16/2020,0.836,91
3/17/2020,0.838,116
3/18/2020,0.724,157
3/19/2020,0.777,203
3/20/2020,0.716,264
3/23/2020,0.697,550
3/24/2020,0.687,731
3/25/2020,0.692,989
3/26/2020,0.728,1275
3/27/2020,0.766,1648
3/30/2020,0.725,3068
3/31/2020,0.697,3911
4/1/2020,0.65,4841
4/2/2020,0.705,5952
4/3/2020,0.808,7121
4/6/2020,0.765,10958
