date,oil,deaths
1/23/2020,55.51,0
1/24/2020,54.09,0
1/27/2020,53.09,0
1/28/2020,53.33,0
1/29/2020,53.29,0
1/30/2020,52.19,0
1/31/2020,51.58,0
2/3/2020,50.06,0
2/4/2020,49.59,0
2/5/2020,50.87,0
2/6/2020,50.94,0
2/7/2020,50.34,0
2/10/2020,49.59,0
2/11/2020,50,0
2/12/2020,51.13,0
2/13/2020,51.41,0
2/14/2020,52.03,0
2/18/2020,52.1,0
2/19/2020,53.31,0
2/20/2020,53.77,0
2/21/2020,53.36,0
2/24/2020,51.36,0
2/25/2020,49.78,0
2/26/2020,48.67,0
2/27/2020,47.17,0
2/28/2020,44.83,0
3/2/2020,46.78,6
3/3/2020,47.27,10
3/4/2020,46.78,12
3/5/2020,45.9,12
3/6/2020,41.14,15
3/9/2020,31.05,26
3/10/2020,34.47,31
3/11/2020,33.13,37
3/12/2020,31.56,43
3/13/2020,31.72,50
3/16/2020,28.96,91
3/17/2020,26.96,116
3/18/2020,20.48,157
3/19/2020,25.09,203
3/20/2020,19.48,264
3/23/2020,23.33,550
3/24/2020,21.03,731
3/25/2020,20.75,989
3/26/2020,16.6,1275
3/27/2020,15.48,1648
3/30/2020,14.1,3068
3/31/2020,20.51,3911
4/1/2020,20.28,4841
4/2/2020,25.18,5952
4/3/2020,28.36,7121
4/6/2020,26.21,10958
4/7/2020,23.54,12957
